,id,region,start,end,strand
11887,11887,ENST00000354234,45,245,+
11511,11511,ENST00000639224,7,207,+
47417,47417,ENST00000510451,4,204,+
21906,21906,ENST00000378826,4417,4617,+
33634,33634,ENST00000366512,914,1114,+
5643,5643,ENST00000311822,597,797,+
27154,27154,ENST00000380545,1133,1333,+
4020,4020,ENST00000358506,278,478,+
15864,15864,ENST00000397108,230,430,+
7380,7380,ENST00000503816,41,241,+
5450,5450,ENST00000513543,2686,2886,+
19035,19035,ENST00000338482,538,738,+
29216,29216,ENST00000554442,148,348,+
31967,31967,ENST00000229304,464,664,+
7580,7580,ENST00000641509,329,529,+
34486,34486,ENST00000375893,726,926,+
12114,12114,ENST00000514853,252,452,+
47351,47351,ENST00000649285,3,203,+
42855,42855,ENST00000456047,68,268,+
41510,41510,ENST00000593649,483,683,+
19559,19559,ENST00000557439,143,343,+
44698,44698,ENST00000513984,358,558,+
2142,2142,ENST00000619711,90,290,+
28254,28254,ENST00000587977,149,349,+
10264,10264,ENST00000520127,28,228,+
20338,20338,ENST00000431016,83,283,+
2273,2273,ENST00000368984,230,430,+
21476,21476,ENST00000358151,39,239,+
33072,33072,ENST00000254436,59,259,+
43152,43152,ENST00000568364,242,442,+
11086,11086,ENST00000392597,133,333,+
15190,15190,ENST00000538253,1011,1211,+
30350,30350,ENST00000225525,159,359,+
40313,40313,ENST00000447815,1552,1752,+
309,309,ENST00000221543,725,925,+
29887,29887,ENST00000397054,343,543,+
48510,48510,ENST00000638408,211,411,+
1348,1348,ENST00000265087,130,330,+
29701,29701,ENST00000369886,103,303,+
30674,30674,ENST00000537469,405,605,+
33253,33253,ENST00000524087,1250,1450,+
41916,41916,ENST00000487349,814,1014,+
45963,45963,ENST00000548020,137,337,+
39160,39160,ENST00000304519,622,822,+
12829,12829,ENST00000613128,13,213,+
8482,8482,ENST00000544791,900,1100,+
18512,18512,ENST00000585632,56,256,+
4387,4387,ENST00000553689,49,249,+
29862,29862,ENST00000331079,720,920,+
16745,16745,ENST00000425664,1318,1518,+
20692,20692,ENST00000612663,25,225,+
27814,27814,ENST00000638965,92,292,+
22924,22924,ENST00000524352,33,233,+
3639,3639,ENST00000329197,309,509,+
35174,35174,ENST00000343533,3204,3404,+
48488,48488,ENST00000617710,409,609,+
39675,39675,ENST00000368455,553,753,+
10963,10963,ENST00000641439,88,288,+
27267,27267,ENST00000398932,835,1035,+
28291,28291,ENST00000262890,324,524,+
16869,16869,ENST00000509219,1158,1358,+
1113,1113,ENST00000392008,2,202,+
34711,34711,ENST00000426955,1337,1537,+
24344,24344,ENST00000513463,1010,1210,+
21867,21867,ENST00000538312,401,601,+
29071,29071,ENST00000243878,335,535,+
4456,4456,ENST00000420978,7,207,+
24716,24716,ENST00000394708,1176,1376,+
42665,42665,ENST00000372307,356,556,+
11082,11082,ENST00000282633,314,514,+
13438,13438,ENST00000449733,1747,1947,+
42784,42784,ENST00000372242,164,364,+
24043,24043,ENST00000377443,694,894,+
42160,42160,ENST00000222574,647,847,+
20979,20979,ENST00000391936,47,247,+
7721,7721,ENST00000425534,279,479,+
38052,38052,ENST00000554604,193,393,+
11126,11126,ENST00000316738,212,412,+
31715,31715,ENST00000620426,1831,2031,+
27270,27270,ENST00000475477,374,574,+
20632,20632,ENST00000576562,164,364,+
10107,10107,ENST00000369536,1049,1249,+
34026,34026,ENST00000381698,47,247,+
21670,21670,ENST00000651590,160,360,+
38719,38719,ENST00000217971,124,324,+
47484,47484,ENST00000511437,80,280,+
17532,17532,ENST00000199706,51,251,+
47275,47275,ENST00000402135,450,650,+
2091,2091,ENST00000350060,2466,2666,+
48939,48939,ENST00000395913,403,603,+
38493,38493,ENST00000372010,570,770,+
22288,22288,ENST00000357384,444,644,+
32221,32221,ENST00000641450,549,749,+
47424,47424,ENST00000361872,1475,1675,+
42271,42271,ENST00000544665,11,211,+
25328,25328,ENST00000536716,254,454,+
32927,32927,ENST00000397575,60,260,+
23904,23904,ENST00000413009,1625,1825,+
10065,10065,ENST00000529372,67,267,+
35484,35484,ENST00000595124,352,552,+
15356,15356,ENST00000428863,251,451,+
4824,4824,ENST00000643992,1645,1845,+
27805,27805,ENST00000597748,10,210,+
29636,29636,ENST00000358763,851,1051,+
46914,46914,ENST00000629380,798,998,+
47768,47768,ENST00000519209,273,473,+
33815,33815,ENST00000400334,1201,1401,+
10307,10307,ENST00000520429,488,688,+
29589,29589,ENST00000366858,0,200,+
15750,15750,ENST00000592949,59,259,+
9010,9010,ENST00000343381,1003,1203,+
6456,6456,ENST00000298050,417,617,+
41454,41454,ENST00000380714,356,556,+
20212,20212,ENST00000304790,445,645,+
7579,7579,ENST00000402551,301,501,+
22171,22171,ENST00000279451,1453,1653,+
30730,30730,ENST00000479407,27,227,+
36269,36269,ENST00000544884,126,326,+
28012,28012,ENST00000510715,42,242,+
35559,35559,ENST00000497002,1308,1508,+
4592,4592,ENST00000411589,314,514,+
7388,7388,ENST00000394011,19,219,+
44988,44988,ENST00000451055,3246,3446,+
6330,6330,ENST00000526129,9,209,+
8426,8426,ENST00000303115,1081,1281,+
768,768,ENST00000600991,867,1067,+
21018,21018,ENST00000416698,157,357,+
33790,33790,ENST00000397981,608,808,+
37431,37431,ENST00000257600,531,731,+
41740,41740,ENST00000269216,601,801,+
43865,43865,ENST00000661336,857,1057,+
34665,34665,ENST00000369703,1,201,+
42163,42163,ENST00000395124,853,1053,+
44378,44378,ENST00000367576,95,295,+
43078,43078,ENST00000262096,358,558,+
28269,28269,ENST00000337000,1603,1803,+
35297,35297,ENST00000476352,2702,2902,+
13124,13124,ENST00000650655,3108,3308,+
13694,13694,ENST00000581138,52,252,+
7720,7720,ENST00000428397,286,486,+
9330,9330,ENST00000367888,183,383,+
35802,35802,ENST00000252015,1111,1311,+
14001,14001,ENST00000285947,443,643,+
28990,28990,ENST00000580718,206,406,+
21100,21100,ENST00000619060,715,915,+
15297,15297,ENST00000374220,15,215,+
17102,17102,ENST00000332687,523,723,+
13032,13032,ENST00000327441,1097,1297,+
46181,46181,ENST00000646487,1077,1277,+
38593,38593,ENST00000284000,22,222,+
20664,20664,ENST00000557238,52,252,+
32902,32902,ENST00000405431,191,391,+
43754,43754,ENST00000507030,493,693,+
7755,7755,ENST00000560491,13,213,+
46177,46177,ENST00000644969,578,778,+
43538,43538,ENST00000219700,183,383,+
44484,44484,ENST00000373884,530,730,+
15145,15145,ENST00000397709,148,348,+
43407,43407,ENST00000397581,631,831,+
49343,49343,ENST00000583087,78,278,+
23768,23768,ENST00000644646,2915,3115,+
9974,9974,ENST00000413295,78,278,+
27297,27297,ENST00000655012,276,476,+
46650,46650,ENST00000620278,264,464,+
24562,24562,ENST00000537257,86,286,+
24865,24865,ENST00000382020,298,498,+
623,623,ENST00000437420,267,467,+
9281,9281,ENST00000398081,5,205,+
13363,13363,ENST00000484288,59,259,+
17079,17079,ENST00000429576,504,704,+
2408,2408,ENST00000504432,520,720,+
22583,22583,ENST00000393802,838,1038,+
342,342,ENST00000504309,750,950,+
41947,41947,ENST00000455999,83,283,+
31168,31168,ENST00000338350,168,368,+
40905,40905,ENST00000421491,694,894,+
32285,32285,ENST00000644879,1672,1872,+
30018,30018,ENST00000457800,1744,1944,+
30905,30905,ENST00000374779,31,231,+
20487,20487,ENST00000650274,462,662,+
15889,15889,ENST00000514653,118,318,+
7685,7685,ENST00000265742,1690,1890,+
40346,40346,ENST00000352634,416,616,+
19986,19986,ENST00000378165,241,441,+
37424,37424,ENST00000392629,70,270,+
44337,44337,ENST00000394283,310,510,+
28403,28403,ENST00000222761,1,201,+
7665,7665,ENST00000433497,12,212,+
16594,16594,ENST00000341307,395,595,+
31043,31043,ENST00000357618,296,496,+
18086,18086,ENST00000380285,39,239,+
18894,18894,ENST00000457047,119,319,+
47872,47872,ENST00000450295,1853,2053,+
32929,32929,ENST00000527043,8,208,+
45400,45400,ENST00000541564,109,309,+
43921,43921,ENST00000479421,205,405,+
13713,13713,ENST00000611222,327,527,+
33495,33495,ENST00000497547,33,233,+
23024,23024,ENST00000391909,591,791,+
36834,36834,ENST00000361722,836,1036,+
2960,2960,ENST00000537886,1726,1926,+
26845,26845,ENST00000494262,60,260,+
27357,27357,ENST00000294671,213,413,+
36579,36579,ENST00000320785,2230,2430,+
47509,47509,ENST00000525263,42,242,+
11551,11551,ENST00000219479,320,520,+
13867,13867,ENST00000644418,15,215,+
48020,48020,ENST00000402966,328,528,+
8467,8467,ENST00000521425,205,405,+
35935,35935,ENST00000444069,25,225,+
17109,17109,ENST00000380887,552,752,+
49979,49979,ENST00000405342,77,277,+
5860,5860,ENST00000368111,90,290,+
11364,11364,ENST00000626873,266,466,+
18063,18063,ENST00000544904,81,281,+
15937,15937,ENST00000373714,370,570,+
1277,1277,ENST00000548536,23,223,+
13139,13139,ENST00000307552,29,229,+
36922,36922,ENST00000481632,1092,1292,+
10765,10765,ENST00000302228,195,395,+
33014,33014,ENST00000381093,720,920,+
40746,40746,ENST00000606117,583,783,+
8975,8975,ENST00000423296,42,242,+
3106,3106,ENST00000291440,434,634,+
11128,11128,ENST00000297283,145,345,+
38079,38079,ENST00000422659,385,585,+
2676,2676,ENST00000315877,176,376,+
44872,44872,ENST00000360001,325,525,+
38489,38489,ENST00000622346,1437,1637,+
14314,14314,ENST00000636174,657,857,+
22103,22103,ENST00000513534,28,228,+
43064,43064,ENST00000217455,258,458,+
34276,34276,ENST00000355059,74,274,+
20869,20869,ENST00000380373,158,358,+
22248,22248,ENST00000412271,654,854,+
26429,26429,ENST00000421801,151,351,+
13310,13310,ENST00000409148,573,773,+
18463,18463,ENST00000282849,1631,1831,+
9750,9750,ENST00000327575,44,244,+
14431,14431,ENST00000368438,201,401,+
20938,20938,ENST00000296511,328,528,+
40117,40117,ENST00000587753,757,957,+
11963,11963,ENST00000567188,3367,3567,+
34078,34078,ENST00000291934,114,314,+
2758,2758,ENST00000303460,481,681,+
49077,49077,ENST00000229379,16,216,+
46969,46969,ENST00000625423,1033,1233,+
24987,24987,ENST00000522484,922,1122,+
22919,22919,ENST00000360151,468,668,+
7724,7724,ENST00000453386,205,405,+
38958,38958,ENST00000392580,359,559,+
1411,1411,ENST00000404261,853,1053,+
15020,15020,ENST00000305850,359,559,+
4639,4639,ENST00000545799,55,255,+
35290,35290,ENST00000289575,678,878,+
27779,27779,ENST00000379344,21,221,+
48644,48644,ENST00000504800,1591,1791,+
7606,7606,ENST00000359540,659,859,+
36571,36571,ENST00000244766,59,259,+
22618,22618,ENST00000405974,659,859,+
29889,29889,ENST00000497599,36,236,+
21992,21992,ENST00000403184,262,462,+
4526,4526,ENST00000008527,317,517,+
13172,13172,ENST00000260777,1137,1337,+
11710,11710,ENST00000394060,370,570,+
22059,22059,ENST00000398449,649,849,+
35006,35006,ENST00000431010,426,626,+
36089,36089,ENST00000534878,199,399,+
47026,47026,ENST00000648253,247,447,+
741,741,ENST00000588430,45,245,+
9052,9052,ENST00000442682,106,306,+
26275,26275,ENST00000313056,330,530,+
32914,32914,ENST00000538765,193,393,+
12574,12574,ENST00000541709,1106,1306,+
9641,9641,ENST00000566403,41,241,+
26371,26371,ENST00000642324,680,880,+
25404,25404,ENST00000580474,493,693,+
8165,8165,ENST00000252252,309,509,+
28447,28447,ENST00000390669,159,359,+
20920,20920,ENST00000567159,1004,1204,+
46570,46570,ENST00000640956,458,658,+
10458,10458,ENST00000521451,17,217,+
12918,12918,ENST00000642720,1222,1422,+
15593,15593,ENST00000547501,34,234,+
23520,23520,ENST00000471362,63,263,+
38224,38224,ENST00000566885,797,997,+
33569,33569,ENST00000472476,1,201,+
30700,30700,ENST00000521575,40,240,+
11509,11509,ENST00000409063,967,1167,+
30301,30301,ENST00000381580,733,933,+
37322,37322,ENST00000586472,202,402,+
35500,35500,ENST00000360998,165,365,+
30619,30619,ENST00000296871,221,421,+
20477,20477,ENST00000526799,52,252,+
7152,7152,ENST00000355612,1080,1280,+
32137,32137,ENST00000393271,746,946,+
36494,36494,ENST00000264952,510,710,+
30514,30514,ENST00000530890,184,384,+
39669,39669,ENST00000381799,68,268,+
27145,27145,ENST00000307972,1451,1651,+
33851,33851,ENST00000561981,776,976,+
42972,42972,ENST00000340607,1,201,+
16680,16680,ENST00000483493,133,333,+
40833,40833,ENST00000308077,44,244,+
27017,27017,ENST00000421798,102,302,+
49672,49672,ENST00000379954,23,223,+
13256,13256,ENST00000523492,349,549,+
7873,7873,ENST00000620916,3,203,+
4202,4202,ENST00000276241,90,290,+
2239,2239,ENST00000521367,98,298,+
22602,22602,ENST00000326092,115,315,+
1221,1221,ENST00000451127,118,318,+
1412,1412,ENST00000371341,214,414,+
34632,34632,ENST00000638712,358,558,+
23105,23105,ENST00000431473,539,739,+
6612,6612,ENST00000340413,141,341,+
19478,19478,ENST00000567572,302,502,+
5679,5679,ENST00000421333,323,523,+
3560,3560,ENST00000369940,217,417,+
9836,9836,ENST00000248437,547,747,+
44534,44534,ENST00000591376,6,206,+
6186,6186,ENST00000644076,971,1171,+
14366,14366,ENST00000456383,265,465,+
38482,38482,ENST00000367950,245,445,+
29641,29641,ENST00000418170,69,269,+
5878,5878,ENST00000305363,573,773,+
44747,44747,ENST00000437154,395,595,+
22303,22303,ENST00000361284,75,275,+
27807,27807,ENST00000469003,17,217,+
34368,34368,ENST00000543599,326,526,+
24540,24540,ENST00000438610,727,927,+
4097,4097,ENST00000392612,192,392,+
36836,36836,ENST00000409196,3113,3313,+
19854,19854,ENST00000396663,7,207,+
17811,17811,ENST00000266643,163,363,+
44581,44581,ENST00000366896,605,805,+
30719,30719,ENST00000640208,78,278,+
46575,46575,ENST00000438012,443,643,+
6871,6871,ENST00000445101,187,387,+
